Date,High Temp,Low Temp,Precipitation,Dew Point,Wind,Sea Level Pressure,Day Length
2022-03-01,71,30,0,33,9,29.7,687
2022-03-02,73,34,0,47,10,29.7,689
2022-03-03,77,47,0,56,8,29.6,691
2022-03-04,78,58,0,62,20,29.6,694
2022-03-05,80,64,0,64,21,29.4,696
2022-03-06,79,67,0,66,24,29.4,698
2022-03-07,55,43,0.09,45,24,29.7,700
2022-03-08,54,40,0,37,17,29.6,703
2022-03-09,60,34,0.01,36,16,29.5,705
2022-03-10,72,32,0,53,14,29.4,707
2022-03-11,62,36,0,56,30,29.8,709
2022-03-12,56,24,0,20,22,30,711
2022-03-13,28,27,0,20,0,29.8,714
2022-03-14,81,43,0,58,21,29.6,716
2022-03-15,75,49,0,42,17,29.6,718
2022-03-16,81,39,0,49,15,29.5,720
2022-03-17,71,43,0,65,21,29.3,723
2022-03-18,73,47,0,65,23,29.6,725
2022-03-19,76,37,0,36,8,29.7,727
2022-03-20,77,35,0,52,24,29.6,729
2022-03-21,80,59,0.05,69,25,29.4,732
2022-03-22,64,50,1.86,61,20,29.4,734
2022-03-23,69,42,0,35,16,29.5,736
2022-03-24,74,39,0,37,18,29.5,738
2022-03-25,83,43,0,40,9,29.6,741
2022-03-26,88,41,0,44,20,29.5,743
2022-03-27,85,52,0,55,22,29.5,745
2022-03-28,84,54,0,62,22,29.4,747
2022-03-29,79,67,0,64,24,29.4,750
2022-03-30,79,58,0.19,64,30,29.2,752
2022-03-31,73,43,0.01,42,15,29.4,754
2023-03-01,83,69,0,70,13,29.2,695
2023-03-02,80,56,0.18,72,23,29.2,697
2023-03-03,72,48,0.5,43,20,29.3,700
2023-03-04,78,37,0,53,14,29.4,702
2023-03-05,78,46,0,61,13,29.5,704
2023-03-06,80,58,0,66,13,29.5,707
2023-03-07,79,63,0,70,10,29.4,709
2023-03-08,79,63,0,67,13,29.5,711
2023-03-09,83,59,0,67,17,29.5,714
2023-03-10,73,56,0,58,17,29.6,716
2023-03-11,87,55,0,69,22,29.3,718
2023-03-12,69,68,0,66,10,29.1,721
2023-03-13,67,50,0,42,17,29.6,723
2023-03-14,66,46,0,45,16,29.7,725
2023-03-15,74,41,0,57,20,29.6,728
2023-03-16,81,56,0,71,28,29.4,730
2023-03-17,57,41,0.88,48,24,29.6,732
2023-03-18,53,45,0.02,36,14,29.9,735
2023-03-19,58,38,0,36,10,30,737
2023-03-20,56,36,0,51,18,29.8,739
2023-03-21,69,52,0.11,68,20,29.5,742
2023-03-22,77,68,0.11,68,21,29.5,744
2023-03-23,80,70,0,69,25,29.4,747
2023-03-24,86,53,0,69,17,29.2,749
2023-03-25,79,48,0.09,49,12,29.4,751
2023-03-26,79,45,0,68,10,29.3,754
2023-03-27,77,55,0,66,17,29.5,756
2023-03-28,68,57,0,52,28,29.7,759
2023-03-29,72,53,0.01,51,15,29.6,761
2023-03-30,76,61,0,70,20,29.5,763
2023-03-31,86,58,0,69,25,29.4,766
