Date,High Temp,Low Temp,Precipitation,Dew Point,Wind,Sea Level Pressure,Day Length
2022-03-01,51,37,0,33,12,29.4,650
2022-03-02,60,34,0,37,20,29.5,654
2022-03-03,37,30,0,26,24,29.8,657
2022-03-04,43,30,0,24,14,29.8,660
2022-03-05,71,43,0,55,28,29.4,663
2022-03-06,61,37,0.21,52,31,29.4,666
2022-03-07,37,32,0.27,32,17,29.5,669
2022-03-08,41,28,0.05,24,14,29.6,672
2022-03-09,44,30,0,26,14,29.5,675
2022-03-10,32,26,0,21,13,29.6,678
2022-03-11,33,18,0.01,21,25,29.5,681
2022-03-12,24,13,0,8,17,29.5,684
2022-03-13,23,22,0,8,12,29.4,687
2022-03-14,65,40,0,35,18,29.5,690
2022-03-15,53,38,0,34,10,29.6,693
2022-03-16,71,40,0,44,20,29.4,696
2022-03-17,72,50,0,46,12,29.3,699
2022-03-18,50,43,0,41,22,29.3,701
2022-03-19,44,39,0.69,39,17,29.3,704
2022-03-20,63,36,0.06,37,13,29.5,707
2022-03-21,76,47,0,40,17,29.5,710
2022-03-22,61,50,0,48,24,29.3,713
2022-03-23,60,47,0.29,54,17,28.9,716
2022-03-24,47,43,0.37,43,18,29.1,718
2022-03-25,49,37,0.1,39,33,29.1,721
2022-03-26,36,30,0.02,28,21,29.4,724
2022-03-27,37,25,0,15,17,29.5,727
2022-03-28,35,25,0,16,16,29.7,729
2022-03-29,45,31,0,21,21,29.6,732
2022-03-30,63,45,0,59,20,29.1,735
2022-03-31,58,36,0,56,20,29.1,737
2023-03-01,57,38,0.05,40,15,29.2,668
2023-03-02,38,34,0,31,15,29.3,670
2023-03-03,38,32,0,31,26,29.2,671
2023-03-04,49,29,0,39,13,29.4,676
2023-03-05,48,31,0.01,35,16,29.6,679
2023-03-06,54,39,0.08,46,16,29.4,680
2023-03-07,44,36,0.05,33,18,29.8,685
2023-03-08,44,37,0,26,17,29.9,688
2023-03-09,40,33,0,33,23,29.7,694
2023-03-10,37,33,0.24,33,18,29.5,699
2023-03-11,39,33,0,32,14,29.4,702
2023-03-12,33,33,0,31,13,29.3,705
2023-03-13,33,27,0.02,25,20,29.6,710
2023-03-14,37,22,0,19,13,29.7,713
2023-03-15,50,25,0,29,18,29.6,717
2023-03-16,51,42,0,47,20,29.3,719
2023-03-17,52,24,0.23,49,26,29.3,720
2023-03-18,25,14,0,13,23,29.5,721
2023-03-19,40,19,0,17,20,29.6,724
2023-03-20,51,28,0,25,25,29.5,729
2023-03-21,54,37,0,33,17,29.5,730
2023-03-22,52,41,0,48,16,29.4,734
2023-03-23,49,37,0,48,24,29.4,736
2023-03-24,45,37,0.02,33,18,29.4,739
2023-03-25,45,35,0.39,36,23,29.2,739
2023-03-26,46,34,0,40,17,29.3,740
2023-03-27,46,33,0.14,33,18,29.6,743
2023-03-28,52,30,0,29,17,29.6,747
2023-03-29,42,31,0,29,22,29.6,751
2023-03-30,58,28,0,36,18,29.6,751
2023-03-31,69,52,0.13,61,35,29.2,752
