Date,High Temp,Low Temp,Precipitation,Dew Point,Wind,Sea Level Pressure,Day Length
2022-03-01,82,66,66,90,12,0,684
2022-03-02,78,69,66,87,9,0,686
2022-03-03,81,69,67,90,16,0.09,688
2022-03-04,81,70,65,73,18,0,691
2022-03-05,81,73,67,76,28,0,693
2022-03-06,82,74,70,79,21,0,695
2022-03-07,82,75,73,94,22,0.01,698
2022-03-08,83,75,73,94,17,0.14,700
2022-03-09,84,75,72,87,18,0,702
2022-03-10,84,75,77,94,14,0,705
2022-03-11,85,74,74,97,15,0.02,707
2022-03-12,88,60,75,91,23,0,709
2022-03-13,59,59,46,62,9,0,712
2022-03-14,75,67,68,93,17,0,714
2022-03-15,79,70,74,100,20,0.34,716
2022-03-16,84,72,74,100,16,0.73,719
2022-03-17,82,73,75,100,13,0,721
2022-03-18,85,69,74,100,15,0,723
2022-03-19,85,75,74,94,14,0,726
2022-03-20,85,72,74,100,15,0,728
2022-03-21,79,72,70,85,21,0.05,730
2022-03-22,81,72,71,82,18,0,733
2022-03-23,85,77,73,84,17,0,735
2022-03-24,86,78,74,84,20,0,737
2022-03-25,78,68,74,100,16,0.65,740
2022-03-26,79,63,57,73,12,0,742
2022-03-27,81,62,56,72,14,0,744
2022-03-28,83,63,59,78,13,0,747
2022-03-29,84,65,64,84,14,0,749
2022-03-30,83,73,68,71,23,0,751
2022-03-31,84,77,73,84,22,0,754
2023-03-01,84,64,0,66,12,30.1,685
2023-03-02,83,71,0,67,15,30,687
2023-03-03,87,75,0,73,21,29.9,689
2023-03-04,87,72,0,73,12,30,692
2023-03-05,88,70,0,71,12,30.1,694
2023-03-06,90,73,0,70,12,30.1,696
2023-03-07,89,71,0,70,12,30.1,698
2023-03-08,89,74,0,70,15,30.1,701
2023-03-09,79,72,0.01,65,20,30.1,703
2023-03-10,81,69,0,62,16,30.1,705
2023-03-11,86,69,0,66,14,29.9,708
2023-03-12,72,70,0,63,6,29.9,710
2023-03-13,89,72,0,72,21,30,712
2023-03-14,84,71,0,70,10,30.1,715
2023-03-15,75,66,0,61,12,30.1,717
2023-03-16,77,62,0.03,57,17,30.2,719
2023-03-17,80,68,0,61,16,30.1,722
2023-03-18,85,70,0,69,16,30,724
2023-03-19,79,65,0,70,13,30.1,726
2023-03-20,76,60,0.37,62,13,30.2,729
2023-03-21,79,62,0,61,15,30.3,731
2023-03-22,81,66,0,63,18,30.3,733
2023-03-23,82,73,0,65,16,30.3,736
2023-03-24,83,72,0.03,70,14,30.2,738
2023-03-25,85,75,0,71,16,30.1,740
2023-03-26,86,75,0,73,16,30.1,743
2023-03-27,86,75,0,72,17,30.1,745
2023-03-28,88,75,0,73,13,30.1,747
2023-03-29,88,73,0.18,72,13,30.1,750
2023-03-30,79,72,0.39,71,13,30.2,752
2023-03-31,82,73,3.49,66,21,30.2,754
