Date,High Temp,Low Temp,Precipitation,Dew Point,Wind,Sea Level Pressure,Day Length
2022-03-01,48,31,0,38,18,30.3,680
2022-03-02,52,41,0,35,16,30,681
2022-03-03,47,26,0.03,36,25,30.4,685
2022-03-04,38,22,0,12,15,30.6,687
2022-03-05,45,31,0,32,14,30.5,688
2022-03-06,68,39,0,56,18,30.2,689
2022-03-07,74,51,0.05,55,32,29.9,700
2022-03-08,47,40,0.05,28,33,30.2,703
2022-03-09,40,33,0.01,32,15,30.2,705
2022-03-10,49,32,0.57,34,10,30.2,705
2022-03-11,53,37,0,43,13,30.1,708
2022-03-12,47,25,0,44,40,29.8,710
2022-03-13,24,24,0,2,30,29.8,710
2022-03-14,56,33,0,34,16,30.4,711
2022-03-15,66,46,0,37,15,30.3,715
2022-03-16,63,47,0,39,15,30.2,716
2022-03-17,55,42,0,51,15,30.1,717
2022-03-18,72,50,0.11,52,16,30,723
2022-03-19,66,46,0,54,14,30,725
2022-03-20,60,46,0.07,53,26,29.9,729
2022-03-21,61,45,0,32,25,30.1,734
2022-03-22,56,44,0,27,22,30.2,735
2022-03-23,47,40,0,32,15,30.3,736
2022-03-24,47,39,0.37,43,24,30.1,730
2022-03-25,59,43,0.79,44,20,29.7,725
2022-03-26,53,44,0,38,21,29.6,723
2022-03-27,45,32,0.04,30,26,29.8,722
2022-03-28,31,24,0,9,28,30,723
2022-03-29,37,26,0,12,24,30.2,725
2022-03-30,47,31,0,32,14,30.3,730
2022-03-31,63,42,0,57,18,30,737
2023-03-01,44,34,0.05,37,14,30.1,677
2023-03-02,52,39,0.01,41,22,29.9,678
2023-03-03,44,38,0,38,23,30.1,681
2023-03-04,45,39,1.26,39,30,30,685
2023-03-05,53,39,0.02,29,25,30.2,688
2023-03-06,53,41,0,26,23,30.2,689
2023-03-07,47,33,0.05,29,29,30,691
2023-03-08,47,32,0,24,25,30.2,692
2023-03-09,50,34,0,26,21,30.2,692
2023-03-10,45,35,0,37,14,30.1,691
2023-03-11,43,37,0.5,37,22,30,701
2023-03-12,38,37,0,28,14,30,704
2023-03-13,45,39,0.04,38,20,30,708
2023-03-14,40,35,0.77,35,29,29.6,709
2023-03-15,45,35,0.01,22,33,30,711
2023-03-16,59,36,0,30,16,30.1,713
2023-03-17,59,45,0,40,13,29.9,718
2023-03-18,56,43,0.01,42,22,29.8,721
2023-03-19,42,31,0,16,25,30.2,722
2023-03-20,49,34,0,29,15,30.3,723
2023-03-21,62,41,0,24,17,30.4,725
2023-03-22,58,48,0,45,20,30.4,729
2023-03-23,61,46,0,52,18,30.1,733
2023-03-24,54,44,0.07,41,18,30,735
2023-03-25,46,42,0,39,23,30.1,740
2023-03-26,63,43,0.17,42,18,30,733
2023-03-27,57,44,0,38,17,30.1,730
2023-03-28,51,42,0.2,38,14,30.1,744
2023-03-29,54,40,0,32,20,30.2,744
2023-03-30,46,32,0.03,32,30,30.3,740
2023-03-31,53,38,0,45,18,30.3,739
