Date,High Temp,Low Temp,Precipitation,Dew Point,Wind,Sea Level Pressure,Day Length
2022-03-01,66,49,0,48.91,16,30.24,681
2022-03-02,68,50,0,48.33,13,30.15,684
2022-03-03,56,50,0,48.19,13,29.97,686
2022-03-04,56,46,0.13,43.72,35,30.05,689
2022-03-05,56,46,0.08,38.5,21,30.17,691
2022-03-06,58,43,0,42.48,18,30.31,693
2022-03-07,66,41,0,36.32,17,30.36,696
2022-03-08,72,46,0,37.46,16,30.22,698
2022-03-09,61,46,0,42.17,32,30.06,701
2022-03-10,66,46,0,36.46,20,30.19,703
2022-03-11,70,43,0,35.33,15,30.33,706
2022-03-12,60,43,0,41.56,26,30.29,708
2022-03-13,53,53,0,49,10,30.17,710
2022-03-14,68,46,0,42.84,17,30.29,713
2022-03-15,65,52,0,51.96,23,30.31,715
2022-03-16,62,49,0,45.81,23,30.25,718
2022-03-17,60,48,0,42.85,20,30.19,720
2022-03-18,67,47,0,45.88,22,30.16,723
2022-03-19,57,50,0,46.19,23,30.05,725
2022-03-20,60,47,0.07,40.33,26,30.25,727
2022-03-21,65,49,0,43.5,24,30.27,730
2022-03-22,80,53,0,47.88,24,30.16,732
2022-03-23,59,50,0,47.83,22,30.2,735
2022-03-24,58,48,0,46.7,26,30.12,737
2022-03-25,59,48,0,45.52,24,30.11,740
2022-03-26,59,47,0,45.54,22,30.11,742
2022-03-27,64,51,0,48,32,29.8,745
2022-03-28,63,53,0.14,47.69,21,29.87,747
2022-03-29,57,52,0,47.89,24,30.14,749
2022-03-30,58,51,0,45.37,25,30.18,752
2022-03-31,62,48,0,45.24,21,30.02,754
2023-03-01,55,39,0.33,32.92,24,30.09,681
2023-03-02,57,41,0,39.08,21,30.18,689
2023-03-03,57,47,0,42.73,20,30.14,686
2023-03-04,53,47,0,40.11,24,29.95,688
2023-03-05,54,45,0.39,37.86,32,30.1,690
2023-03-06,54,42,0,39,14,30.17,693
2023-03-07,53,43,0.2,38.46,13,30.22,695
2023-03-08,55,45,0.03,39.1,14,30.2,698
2023-03-09,58,45,0.08,45,38,30.15,700
2023-03-10,59,50,1.23,48.77,36,29.94,703
2023-03-11,62,48,0,49.36,17,30.04,705
2023-03-12,57,56,0,52,15,30.05,707
2023-03-13,66,55,0.58,53.29,21,30.09,710
2023-03-14,64,49,0.08,52.37,49,29.92,712
2023-03-15,58,44,0.63,42.25,20,30.03,715
2023-03-16,59,45,0,44,20,30.08,717
2023-03-17,62,46,0,45.33,21,30.11,720
2023-03-18,64,49,0,47.46,22,30.07,722
2023-03-19,59,52,0.17,50.03,22,29.91,726
2023-03-20,57,50,0.47,42.81,15,29.96,727
2023-03-21,55,48,0,44.67,44,29.68,729
2023-03-22,57,48,1.23,46.39,20,30.1,734
2023-03-23,56,49,0.11,43.37,24,30.37,734
2023-03-24,57,46,0.03,36.67,30,30.45,737
2023-03-25,57,42,0,35.6,28,30.37,739
2023-03-26,57,44,0,34.25,22,30.3,741
2023-03-27,61,41,0,37.13,17,30.26,744
2023-03-28,54,47,0,42.85,30,30.07,746
2023-03-29,53,48,0.65,43.25,17,29.84,749
2023-03-30,57,45,0.65,42.27,21,30.13,751
2023-03-31,59,45,0,41.75,15,30.25,754
